2.500000000000000000e+00 1.345890000000000031e+00 5.128650000000000439e-04
7.500000000000000000e+00 1.331220000000000070e+00 5.014719999999999855e-04
1.500000000000000000e+01 1.309800000000000075e+00 4.453060000000000221e-04
2.500000000000000000e+01 1.277630000000000043e+00 5.456810000000000089e-04
3.500000000000000000e+01 1.238520000000000065e+00 6.602000000000000013e-04
4.500000000000000000e+01 1.194989999999999997e+00 7.701500000000000446e-04
5.500000000000000000e+01 1.149659999999999904e+00 8.494299999999999767e-04
6.500000000000000000e+01 1.114610000000000101e+00 8.941519999999999460e-04
7.500000000000000000e+01 1.112060000000000048e+00 8.249559999999999532e-04
8.500000000000000000e+01 1.182350000000000012e+00 7.409730000000000222e-04
