2.500000000000000000e+00 6.874479999999999480e-01 2.399869999999999911e-04
7.500000000000000000e+00 6.854799999999999782e-01 2.070300000000000016e-04
1.500000000000000000e+01 6.804289999999999505e-01 1.631020000000000115e-04
2.500000000000000000e+01 6.723689999999999944e-01 2.012469999999999927e-04
3.500000000000000000e+01 6.605799999999999450e-01 2.733519999999999808e-04
4.500000000000000000e+01 6.464090000000000114e-01 3.095220000000000089e-04
5.500000000000000000e+01 6.328279999999999461e-01 3.779200000000000137e-04
6.500000000000000000e+01 6.265899999999999803e-01 4.692270000000000121e-04
7.500000000000000000e+01 6.416380000000000416e-01 6.099950000000000034e-04
8.500000000000000000e+01 7.010499999999999510e-01 7.605409999999999948e-04
