2.500000000000000000e+00 8.792569999999999553e-01 6.267420000000000109e-04
7.500000000000000000e+00 8.726169999999999760e-01 5.797140000000000539e-04
1.500000000000000000e+01 8.601670000000000149e-01 4.502560000000000069e-04
2.500000000000000000e+01 8.420630000000000059e-01 4.895599999999999952e-04
3.500000000000000000e+01 8.185109999999999886e-01 5.489489999999999648e-04
4.500000000000000000e+01 7.915079999999999893e-01 5.872499999999999899e-04
5.500000000000000000e+01 7.651529999999999720e-01 6.265380000000000515e-04
6.500000000000000000e+01 7.478780000000000427e-01 6.918420000000000212e-04
7.500000000000000000e+01 7.592680000000000540e-01 7.598929999999999834e-04
8.500000000000000000e+01 8.300220000000000375e-01 6.394869999999999981e-04
